763e	 -2.2621E0	-2.5907E0	-7.3952E0	-7.7238E0	-1.7183E1	-1.6855E1	-1.7512E1	-8.2419E0	-1.1591E-2	2.7982E0	3.4978E0	4.492E0	5.1014E0	6.8238E0	6.419E0	-9.7081E0	4.5719E0	6.0059E0	4.135E0	 	 1.9321E-6	1.9321E-6	1.8436E-6	1.8436E-6	6.5154E-8	3.2577E-8	3.2577E-8	2.7989E-7	3.751E-6	1.4192E-6	1.4289E-7	0E0	1.6117E-6	1.0348E-6	1.9615E-7	2.1233E-7	0E0	1.22E-7	0E0	
776e	 -2.3319E0	-2.6605E0	-7.3071E0	-7.6357E0	-1.5723E1	-1.5394E1	-1.6051E1	-8.2617E0	-2.2743E-2	2.7983E0	3.4965E0	4.3979E0	4.8712E0	6.7049E0	6.0793E0	-9.9938E0	4.5889E0	6.0456E0	4.5971E0	 	 1.8618E-6	1.8618E-6	2.3402E-6	2.3402E-6	1.3383E-6	6.6916E-7	6.6916E-7	6.4073E-7	4.4261E-6	1.9275E-6	0E0	0E0	5.616E-7	1.9335E-6	0E0	1.0615E-6	0E0	1.5053E-6	5.3124E-8	
775e	 -2.316E0	-2.6446E0	-7.4334E0	-7.762E0	-1.6094E1	-1.5765E1	-1.6422E1	-8.3605E0	-1.095E-2	2.8352E0	3.4095E0	4.4445E0	4.9203E0	6.7555E0	6.2595E0	-9.7876E0	4.5733E0	5.6818E0	4.0712E0	 	 1.5532E-6	1.5532E-6	2.4105E-6	2.4105E-6	1.6295E-6	8.1476E-7	8.1476E-7	9.6527E-7	3.3735E-6	1.2824E-6	8.3625E-8	0E0	1.1014E-6	2.1196E-6	7.4454E-7	9.6601E-7	0E0	1.9317E-7	7.8524E-8	
765e	 -2.2634E0	-2.592E0	-7.3464E0	-7.675E0	-1.5913E1	-1.5584E1	-1.6241E1	-8.2694E0	2.1162E-2	2.9625E0	3.4699E0	4.4972E0	4.9579E0	6.7041E0	6.1941E0	-9.1729E0	4.5972E0	6.099E0	4.4028E0	 	 1.5355E-6	1.5355E-6	2.0376E-6	2.0376E-6	1.738E-6	8.6901E-7	8.6901E-7	3.6431E-7	3.9917E-6	5.9346E-7	7.9492E-8	0E0	8.7025E-7	1.2572E-6	3.154E-7	2.6947E-7	0E0	1.7262E-7	0E0	
762m	 -2.2679E0	-2.5965E0	-7.3932E0	-7.7218E0	-1.4677E1	-1.4348E1	-1.5005E1	-8.3955E0	-3.2167E-2	2.7983E0	3.4978E0	4.4972E0	4.9146E0	6.7422E0	6.3178E0	-9.9938E0	4.2412E0	5.6465E0	4.1265E0	 	 1.8114E-6	1.8114E-6	2.867E-6	2.867E-6	0E0	0E0	0E0	7.0614E-7	4.3034E-6	2.3859E-6	1.17E-7	0E0	1.9551E-6	2.5439E-6	5.4567E-8	4.2223E-6	0E0	7.0396E-7	0E0	
771m	 -2.3141E0	-2.6427E0	-7.3079E0	-7.6365E0	-1.6171E1	-1.5842E1	-1.6499E1	-7.7837E0	-1.3313E-2	2.8411E0	3.4977E0	4.422E0	5.129E0	6.8159E0	6.4958E0	-9.2634E0	4.6266E0	6.1877E0	4.1898E0	 	 9.7391E-7	9.7391E-7	6.4527E-7	6.4527E-7	7.9223E-7	3.9612E-7	3.9612E-7	1.8029E-6	1.7924E-6	7.989E-7	1.9096E-8	0E0	1.2551E-6	1.2248E-6	0E0	0E0	0E0	1.6381E-7	3.0697E-8	
715e	 -2.4154E0	-2.744E0	-7.4321E0	-7.7607E0	-1.6143E1	-1.5814E1	-1.6472E1	-8.3691E0	-3.0294E-2	2.8333E0	3.4042E0	4.2717E0	4.9768E0	6.837E0	6.4766E0	-9.7639E0	4.2885E0	5.6573E0	3.4183E0	 	 1.787E-6	1.787E-6	1.9765E-6	1.9765E-6	1.4297E-6	7.1485E-7	7.1485E-7	6.4876E-7	3.5809E-6	6.4497E-7	9.1039E-8	0E0	2.311E-6	1.9596E-7	2.6958E-6	1.9286E-7	0E0	0E0	4.6888E-7	
719e	 -2.273E0	-2.6016E0	-7.3485E0	-7.6771E0	-1.5738E1	-1.5409E1	-1.6066E1	-8.2272E0	9.4497E-3	2.9794E0	3.4977E0	4.4905E0	4.8556E0	6.8292E0	6.3018E0	-8.9942E0	4.8968E0	5.9163E0	4.3094E0	 	 1.2309E-6	1.2309E-6	1.2742E-6	1.2742E-6	1.6797E-6	8.3986E-7	8.3986E-7	5.4788E-7	2.2252E-6	8.5102E-7	0E0	0E0	8.1781E-8	1.6334E-6	4.2057E-7	0E0	7.8815E-7	0E0	0E0	
714e	 -2.3342E0	-2.6628E0	-7.4087E0	-7.7373E0	-1.6092E1	-1.5764E1	-1.6421E1	-7.745E0	-3.4935E-2	2.8806E0	3.479E0	4.4481E0	5.2849E0	6.7599E0	6.4497E0	-9.9935E0	4.8946E0	6.0663E0	4.0753E0	 	 1.5093E-6	1.5093E-6	8.5072E-7	8.5072E-7	6.8626E-7	3.4313E-7	3.4313E-7	2.0334E-6	3.5888E-6	1.6238E-6	7.811E-8	0E0	2.7093E-7	1.384E-6	1.6316E-6	5.9467E-7	7.6511E-7	7.2414E-8	3.0799E-7	
769e	 -2.314E0	-2.6426E0	-7.38E0	-7.7086E0	-1.6005E1	-1.5677E1	-1.6334E1	-8.3164E0	1.0499E-3	2.9458E0	3.4812E0	4.4555E0	4.8214E0	6.7667E0	6.3348E0	-9.9938E0	4.139E0	6.1802E0	4.2498E0	 	 1.6515E-6	1.6515E-6	1.7565E-6	1.7565E-6	1.19E-6	5.95E-7	5.95E-7	2.4919E-7	3.1512E-6	1.2125E-6	8.3912E-8	0E0	7.0721E-7	1.6154E-6	7.4547E-8	1.2716E-8	4.159E-8	9.7523E-8	0E0	
